elapsed_s,scheduled_request_count,launched_request_count,dropped_max_inflight_count,inflight_count_max,client_backlog_or_schedule_miss,timeout_rate,fail_rate,target_offered_rps,cooling_condition,run_id,completion_realized_completed_rps,completion_completed_request_count,completion_successful_completion_count,completion_completion_success_fraction,completion_completion_timeout_fraction,completion_latency_p50,completion_latency_p95,completion_latency_p99,gpu_util_pct,gpu_mem_util_pct,gpu_memory_used_mib,gpu_power_w,gpu_temp_c,sm_clock_mhz,mem_clock_mhz,vm_cluster_semantic__namespace_total__cpu_cores_rate,vm_cluster_semantic__namespace_total__memory_working_set_bytes,vm_target_node_semantic__gpu_bound_features__gpu_compute__gpu_util_avg,vm_target_node_semantic__node_compute_features__cpu_compute__cpu_user_percent,vm_target_node_semantic__node_compute_features__cpu_compute__load1,vm_target_node_semantic__node_compute_features__cpu_compute__load5,vm_target_node_semantic__node_compute_features__ram_capacity__memory_usage_percent,vm_target_node_semantic__node_pressure_instant__cpu_usage_percent,vm_target_node_semantic__node_pressure_instant__load_average__load1,vm_target_node_semantic__node_pressure_instant__load_average__load5,vm_target_node_semantic__node_pressure_instant__mem_used_bytes
10,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,214.5486679946771,214.5486679946771,214.5486679946771,30.0,10.0,822.0,61.95,45.0,1721.0,5005.0,0.0039062999999714,1662210048.0,0.0,8.21382,1.14,0.72,7.136183254810502,12.7770539,0.97,0.7,4045999702.0
11,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,61.68,44.0,1721.0,5005.0,0.0,1662210048.0,0.0,7.402597,1.14,0.72,7.136183254810502,10.259739800000002,0.97,0.7,4042883334.0
12,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,206.47871600522197,206.47871600522197,206.47871600522197,22.0,8.0,822.0,74.34,47.0,1961.0,5005.0,0.0909062000000346,1662210048.0,0.0,6.282723,1.14,0.72,7.136183254810502,10.7329845,0.97,0.7,4046291206.0
13,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,73.08,45.0,1949.0,5005.0,0.0909062000000346,1662210048.0,0.0,7.911803,1.14,0.72,7.136183254810502,11.0246431,0.97,0.7,4047823175.0
14,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,166.91405601159204,166.91405601159204,166.91405601159204,0.0,0.0,822.0,73.48,48.0,1949.0,5005.0,0.0909062000000346,1662210048.0,0.0,5.447471,0.97,0.7,7.116790973279086,9.5979249,0.97,0.7,4050153111.0
15,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,73.08,46.0,1949.0,5005.0,0.0909062000000346,1662210048.0,0.0,7.622739,0.97,0.7,7.116790973279086,10.9819118,0.97,0.7,4051710246.0
16,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,189.6283679961925,189.6283679961925,189.6283679961925,57.0,21.0,822.0,73.57,49.0,1949.0,5005.0,0.0909062000000346,1662210048.0,0.0,6.779661,0.97,0.7,7.116790973279086,10.5606258,0.89,0.69,4054384115.0
17,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,73.18,46.0,1949.0,5005.0,0.0909062000000346,1662210048.0,0.0,8.634021,0.97,0.7,7.116790973279086,13.5309279,0.89,0.69,4057624215.0
18,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,191.0846789978677,191.0846789978677,191.0846789978677,57.0,21.0,822.0,73.67,49.0,1949.0,5005.0,0.0909062000000346,1662210048.0,0.0,5.744125,0.97,0.7,7.116790973279086,10.052219399999998,0.89,0.69,4064600391.0
19,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,73.18,47.0,1949.0,5005.0,0.0909062000000346,1662210048.0,0.0,7.49354,0.97,0.7,7.116790973279086,10.9819118,0.89,0.69,4065877557.0
20,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,198.43103899620476,198.43103899620476,198.43103899620476,57.0,21.0,822.0,73.77,49.0,1949.0,5005.0,0.0909062000000346,1662210048.0,0.0,5.721717,0.97,0.7,7.116790973279086,9.3628091,0.89,0.69,4064645480.0
21,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,73.37,47.0,1949.0,5005.0,0.0029108000000007,1662210048.0,0.0,6.821107,0.97,0.7,7.116790973279086,9.1377093,0.82,0.67,4063752093.0
22,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,186.0651890019653,186.0651890019653,186.0651890019653,63.0,23.0,822.0,73.77,49.0,1949.0,5005.0,0.0029108000000007,1662210048.0,0.0,6.380208,0.97,0.7,7.116790973279086,10.6770826,0.82,0.67,4066345222.0
23,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,73.47,47.0,1949.0,5005.0,0.0029108000000007,1662210048.0,0.0,6.597671,0.97,0.7,7.116790973279086,9.0556266,0.82,0.67,4062793695.0
24,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,205.1301930041518,205.1301930041518,205.1301930041518,61.0,22.0,822.0,73.96,50.0,1949.0,5005.0,0.0029108000000007,1662210048.0,0.0,5.699482,0.82,0.67,7.14019062813418,9.4559591,0.82,0.67,4073328738.0
25,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,73.57,48.0,1949.0,5005.0,0.0029108000000007,1662210048.0,0.0,6.459948,0.82,0.67,7.14019062813418,9.3023248,0.82,0.67,4073393750.0
26,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,195.79485099529848,195.79485099529848,195.79485099529848,63.0,23.0,822.0,73.92,50.0,1949.0,5005.0,0.0029108000000007,1662210048.0,0.0,6.27451,0.82,0.67,7.14019062813418,10.8496736,0.82,0.67,4073000534.0
27,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,73.57,48.0,1949.0,5005.0,0.0029108000000007,1662210048.0,0.0,8.80829,0.82,0.67,7.14019062813418,13.0829011,0.83,0.68,4052627750.0
28,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,171.9321149867028,171.9321149867028,171.9321149867028,55.0,20.0,822.0,74.15,50.0,1949.0,5005.0,0.0029108000000007,1662210048.0,0.0,6.797386,0.82,0.67,7.14019062813418,11.2418306,0.83,0.68,4053839904.0
29,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,73.67,48.0,1949.0,5005.0,0.0029108000000007,1662210048.0,0.0,7.235142,0.82,0.67,7.14019062813418,10.4651158,0.83,0.68,4059733950.0
30,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,195.04186999984088,195.04186999984088,195.04186999984088,60.0,22.0,822.0,74.15,50.0,1949.0,5005.0,0.0029108000000007,1662210048.0,0.0,6.103896,0.82,0.67,7.14019062813418,10.0,0.83,0.68,4061085564.0
31,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,73.76,49.0,1949.0,5005.0,0.0,1662210048.0,0.0,6.718346,0.82,0.67,7.14019062813418,9.3023248,0.83,0.68,4060537159.0
32,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,199.9981669941917,199.9981669941917,199.9981669941917,59.0,21.0,822.0,75.22,51.0,1949.0,5005.0,0.137680599999976,1662210048.0,0.0,5.598958,0.82,0.67,7.14019062813418,8.9843747,0.76,0.67,4061007970.0
33,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,74.93,49.0,1949.0,5005.0,0.137680599999976,1662210048.0,0.0,8.891753,0.82,0.67,7.14019062813418,13.6597939,0.76,0.67,4062548328.0
34,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,190.21081799292008,190.21081799292008,190.21081799292008,51.0,19.0,822.0,75.32,51.0,1949.0,5005.0,0.137680599999976,1662210048.0,0.0,5.16129,0.76,0.67,7.135435292869974,7.8709673,0.76,0.67,4060597977.0
35,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,75.03,49.0,1949.0,5005.0,0.137680599999976,1662210048.0,0.0,8.150065,0.76,0.67,7.135435292869974,12.2897808,0.76,0.67,4064886652.0
36,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,199.61415301077068,199.61415301077068,199.61415301077068,50.0,18.0,822.0,75.42,51.0,1949.0,5005.0,0.137680599999976,1662210048.0,0.0,6.388527,0.76,0.67,7.135435292869974,10.5606259,0.76,0.67,4062293524.0
37,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,75.03,50.0,1949.0,5005.0,0.137680599999976,1662210048.0,0.0,8.300908,0.76,0.67,7.135435292869974,12.4513615,0.7,0.66,4065550401.0
38,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,196.20374000805896,196.20374000805896,196.20374000805896,48.0,17.0,822.0,75.51,52.0,1949.0,5005.0,0.137680599999976,1662210048.0,0.0,6.666667,0.76,0.67,7.135435292869974,10.8496737,0.7,0.66,4057968148.0
39,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,75.03,50.0,1949.0,5005.0,0.137680599999976,1662210048.0,0.0,6.994819,0.76,0.67,7.135435292869974,10.4922288,0.7,0.66,4060664037.0
40,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,175.70832700585015,175.70832700585015,175.70832700585015,37.0,13.0,822.0,75.51,52.0,1949.0,5005.0,0.137680599999976,1662210048.0,0.0,6.518905,0.76,0.67,7.135435292869974,10.8213818,0.7,0.66,4061036281.0
41,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,75.31,50.0,1949.0,5005.0,0.0,1662210048.0,0.0,7.124352,0.76,0.67,7.135435292869974,10.3626941,0.7,0.66,4071068008.0
42,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,193.18904500687492,193.18904500687492,193.18904500687492,38.0,14.0,822.0,75.6,52.0,1949.0,5005.0,0.118252300000023,1662210048.0,0.0,5.890052,0.76,0.67,7.135435292869974,9.4240834,0.7,0.66,4071133020.0
43,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,75.31,50.0,1949.0,5005.0,0.118252300000023,1662210048.0,0.0,8.268734,0.76,0.67,7.135435292869974,11.6279068,0.6933253,0.6586651,4072296939.0
44,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,193.54282699350733,193.54282699350733,193.54282699350733,38.0,14.0,822.0,75.6,52.0,1949.0,5005.0,0.118252300000023,1662210048.0,0.0,5.490196,0.65,0.65,7.149385087110504,9.8039215,0.65,0.65,4072374534.0
45,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,75.31,51.0,1949.0,5005.0,0.118252300000023,1662210048.0,0.0,6.589147,0.65,0.65,7.149385087110504,9.1731268,0.65,0.65,4059263139.0
46,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,188.0078190006316,188.0078190006316,188.0078190006316,29.0,10.0,822.0,75.71,53.0,1949.0,5005.0,0.118252300000023,1662210048.0,0.0,6.151832,0.65,0.65,7.149385087110504,10.6020934,0.65,0.65,4059058667.0
47,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,62.85,50.0,1721.0,5005.0,0.118252300000023,1662210048.0,0.0,8.344031,0.65,0.65,7.149385087110504,12.7086006,0.65,0.65,4066287550.0
48,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,209.60288499190935,209.60288499190935,209.60288499190935,36.0,12.0,822.0,63.04,51.0,1721.0,5005.0,0.118252300000023,1662210048.0,0.0,5.519054,0.65,0.65,7.149385087110504,8.6727993,0.65,0.65,4064349782.0
49,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,62.85,50.0,1721.0,5005.0,0.118252300000023,1662210048.0,0.0,7.235142,0.65,0.65,7.149385087110504,10.2067178,0.59,0.64,4057829736.0
50,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,191.726204007864,191.726204007864,191.726204007864,27.0,9.0,822.0,66.32,51.0,1809.0,5005.0,0.118252300000023,1662210048.0,0.0,6.544503,0.65,0.65,7.149385087110504,10.7329844,0.59,0.64,4061462003.0
51,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,66.33,50.0,1809.0,5005.0,0.0,1662210048.0,0.0,8.376289,0.65,0.65,7.149385087110504,11.0824749,0.59,0.64,4059848245.0
52,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,214.06129098613744,214.06129098613744,214.06129098613744,33.0,12.0,822.0,66.58,52.0,1809.0,5005.0,0.0035491000000035,1662210048.0,0.0,5.345502,0.65,0.65,7.149385087110504,9.256844699999998,0.59,0.64,4069773017.0
53,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,66.32,50.0,1809.0,5005.0,0.0035491000000035,1662210048.0,0.0,8.226221,0.65,0.65,7.149385087110504,11.8251929,0.59,0.64,4070518554.0
54,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,190.186680003535,190.186680003535,190.186680003535,19.0,7.0,822.0,76.0,53.0,1949.0,5005.0,0.0035491000000035,1662210048.0,0.0,6.13577,0.55,0.62,7.153921506684801,9.9216704,0.59,0.64,4071817740.0
55,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,75.71,52.0,1949.0,5005.0,0.0035491000000035,1662210048.0,0.0,7.772021,0.55,0.62,7.153921506684801,11.0103635,0.5,0.61,4069298012.0
56,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,192.03983299667016,192.03983299667016,192.03983299667016,13.0,5.0,822.0,76.09,54.0,1949.0,5005.0,0.0035491000000035,1662210048.0,0.0,6.27451,0.55,0.62,7.153921506684801,10.8496737,0.5,0.61,4068343808.0
57,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,0.0,0.0,822.0,75.71,52.0,1949.0,5005.0,0.0035491000000035,1662210048.0,0.0,8.062419,0.55,0.62,7.153921506684801,12.3537061,0.5,0.61,4068417208.0
58,1,1,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,1.0,1.0,1.0,1.0,0.0,199.16021300014108,199.16021300014108,199.16021300014108,13.0,5.0,822.0,76.19,54.0,1949.0,5005.0,0.0035491000000035,1662210048.0,0.0,4.96732,0.55,0.62,7.153921506684801,8.3660127,0.5,0.61,4067610853.0
59,0,0,0,0,0,0.0,0.0,0.5,normal_cooling,calibration_level1_rps0.5_20260703_095642,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,176.241317007225,176.241317007225,176.241317007225,17.0,6.0,822.0,213.23,56.0,1949.0,5005.0,0.0035491000000035,1662210048.0,0.0,7.345361,0.55,0.62,7.153921506684801,10.9536089,0.5,0.61,4068212736.0
1,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,206.61785600532312,206.61785600532312,206.61785600532312,5.0,2.0,822.0,203.73,55.0,1949.0,5005.0,0.0035491000000035,1662210048.0,0.0,6.55308,0.55,0.62,7.153921506684801,11.1402362,0.54,0.62,4068855513.0
2,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,202.5578070024494,202.5578070024494,202.5578070024494,7.0,3.0,822.0,223.78,56.0,1949.0,5005.0,0.0,1662210048.0,0.0,8.441558,0.55,0.62,7.153921506684801,10.9090906,0.54,0.62,4071723368.0
3,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,180.8920369949192,180.8920369949192,180.8920369949192,19.0,7.0,822.0,199.2,56.0,1949.0,5005.0,0.1531461999999919,1662210048.0,0.0,12.596401,0.55,0.62,7.153921506684801,18.7660664,0.54,0.62,4070419988.0
4,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,199.40079799562227,199.40079799562227,199.40079799562227,16.0,6.0,822.0,201.54,56.0,1936.0,5005.0,0.1531461999999919,1662210048.0,0.0,7.573813,0.55,0.62,7.153921506684801,11.424904000000002,0.54,0.62,4073930620.0
5,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,203.41635099612176,203.41635099612176,203.41635099612176,19.0,7.0,822.0,229.45,56.0,1936.0,5005.0,0.1531461999999919,1662210048.0,0.0,6.976744,0.54,0.62,7.153137058795956,9.8191208,0.54,0.62,4072562229.0
6,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,202.43675299570896,202.43675299570896,202.43675299570896,20.0,8.0,822.0,194.55,56.0,1936.0,5005.0,0.1531461999999919,1662210048.0,0.0,8.247423,0.54,0.62,7.153137058795956,13.0154638,0.54,0.62,4073689448.0
7,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,202.58286500757092,202.58286500757092,202.58286500757092,22.0,8.0,822.0,187.0,56.0,1936.0,5005.0,0.1531461999999919,1662210048.0,0.0,6.485084,0.54,0.62,7.153137058795956,10.1167315,0.58,0.63,4075753046.0
8,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,199.4068899948616,199.4068899948616,199.4068899948616,25.0,9.0,822.0,222.91,57.0,1936.0,5005.0,0.1531461999999919,1662210048.0,0.0,7.6326,0.54,0.62,7.153137058795956,10.8667527,0.58,0.63,4074618486.0
9,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,188.23778700607363,188.23778700607363,188.23778700607363,32.0,12.0,822.0,219.83,57.0,1936.0,5005.0,0.1531461999999919,1662210048.0,0.0,6.589147,0.54,0.62,7.153137058795956,10.2067178,0.58,0.63,4078120730.0
10,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,202.7246250072494,202.7246250072494,202.7246250072494,26.0,10.0,822.0,228.35,57.0,1936.0,5005.0,0.1531461999999919,1662210048.0,0.0,7.345361,0.54,0.62,7.153137058795956,10.5670109,0.58,0.63,4079304572.0
11,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,200.3510579961585,200.3510579961585,200.3510579961585,31.0,11.0,822.0,203.98,57.0,1936.0,5005.0,0.1531461999999919,1662210048.0,0.0,5.897436,0.54,0.62,7.153137058795956,9.3589749,0.58,0.63,4078309474.0
12,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,197.89881199540105,197.89881199540105,197.89881199540105,32.0,12.0,822.0,193.97,58.0,1936.0,5005.0,0.244527099999982,1662332928.0,42.0,8.247423,0.54,0.62,7.153137058795956,11.9845368,0.58,0.63,4079661088.0
13,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,198.75905200024133,198.75905200024133,198.75905200024133,33.0,12.0,822.0,213.24,58.0,1936.0,5005.0,0.244527099999982,1662332928.0,42.0,7.901554,0.54,0.62,7.153137058795956,11.3989638,0.61,0.63,4078539112.0
14,1,1,0,0,0,0.0,0.0,1.0,normal_cooling,calibration_level2_rps1.0_20260703_095741,1.0,1.0,1.0,1.0,0.0,202.2565860097529,202.2565860097529,202.2565860097529,32.0,12.0,822.0,194.91,57.0,1936.0,5005.0,0.244527099999982,1662332928.0,42.0,7.503234,0.54,0.62,7.153137058795956,10.7373868,0.61,0.63,4078866268.0
